id;cpath;mgeom
13162;51013,48790,48791,48798,48799,48800,18298,79681,3751,40668,15118,15119,15135,15136,15137,64326,46995,16885,64352,3735,46870,3770,3771,3772,3773,3774,3775,3776,3757,3755,3756,84632,84568,51436,14627,14628,14629,84651,71660,71661;LINESTRING(116.425174029 39.9609402014,116.425138693 39.9621787251,116.42505144 39.9649927002,116.425048555 39.965085206,116.424942428 39.9687440282,116.42493119 39.9691416521,116.424878192 39.9695230055,116.424825257 39.97119111,116.424779188 39.972643501,116.424744617 39.9733840553,116.424730881 39.973781381,116.424702606 39.9745373314,116.424667261 39.9754843945,116.424638689 39.976262246,116.424631544 39.9766412663,116.424608608 39.9769623954,116.424600929 39.9770690051,116.424595848 39.9771813133,116.424591266 39.9772880208,116.424493054 39.9795779823,116.4243293 39.9833946516,116.424298142 39.983486377,116.424135643 39.9869736318,116.424126377 39.9871724463,116.424116314 39.9873894622,116.424104558 39.9876409806,116.424095591 39.9878348947,116.424085528 39.9880490104,116.424056435 39.988673656,116.424185772 39.9891324863,116.424167374 39.9905771588,116.424175175 39.9914272888,116.424176593 39.991577094,116.424194931 39.9935677645,116.42419564 39.9936490674,116.424209981 39.994852408,116.4242472 39.9952808003,116.424265603 39.9954434945,116.42435982 39.9962783643,116.424389025 39.9965375548,116.424395245 39.9965928928)
6601;30181,5207,10061,29829,29986,12568,12569,12570,12564,12565,11997,27811,27812,27103,27104,27105,27106,27107,27108,36390,53762,36389,44050,44052,36388,36381,36382,36383,36384,36385,44077,44078,44079,53966,14069,14070,14071,41749,2882,2883,2884,2855,41744,41745,44072,44073,44074,44075,44076,44064,25916;LINESTRING(116.413967984 39.8620137269,116.413967984 39.8620137269,116.413777671 39.8652962494,116.413705608 39.8669582549,116.413609364 39.8687010687,116.413481505 39.87182176,116.413440791 39.8723882979,116.413415165 39.8729021299,116.413403398 39.8731316442,116.404806514 39.8729129532,116.403450872 39.8728781767,116.402785417 39.8728627123,116.401968095 39.8728461849,116.401062506 39.8728150992,116.400930464 39.8728412563,116.400809729 39.8728948179,116.400731916 39.8730058968,116.400710528 39.8731652976,116.400668419 39.873998826,116.400631733 39.8750004646,116.400620856 39.8752051713,116.400541517 39.8767029196,116.400538724 39.8767629216,116.400536529 39.8768088232,116.400533237 39.8768799256,116.400451962 39.8788834976,116.400316843 39.8791385616,116.400196124 39.8793472278,116.400033783 39.8795218761,116.399460523 39.8800987826,116.399196135 39.8803062859,116.39915364 39.8804911776,116.399146863 39.8806899847,116.399147787 39.8808775943,116.399158911 39.8810301065,116.399131047 39.8821964526,116.399087234 39.8830307755,116.399066188 39.883527091,116.398475313 39.8834990367,116.398532027 39.8826141182,116.398599726 39.881563496,116.398613659 39.8809882736,116.398628553 39.8808913753,116.398642241 39.8807418738,116.398654999 39.8803639605,116.398435965 39.8801236528,116.398027198 39.8795914422,116.397799751 39.8793359241,116.397649439 39.8790616395,116.397535437 39.8787209682,116.397535687 39.8783280486,116.397535687 39.8783280486)
5503;867,10357,10358,10372,66681,66682,10368,33402,18773,33429,33430,10363,10364,10375,10376,10377,10438,710,711,712,10830,10831,33383,33384,10835,10836,10837,33416,45660,45661,14513,14514,10838,10839,10840,10841,10845,1800,42972,1804,1805,1811,1812,1813,33370,1814,1815,1816,1817,1818,1819,52213,52214,52215,52211,53806,53807,53808,53809,53810,53811,53812,53813,52206,52201,52200,1101;LINESTRING(116.433232359 39.9408700985,116.433393239 39.9407674071,116.43344198 39.9400868261,116.433356636 39.939538298,116.433361814 39.939429888,116.433363507 39.9393935847,116.433685359 39.9388229056,116.433711584 39.9377586336,116.433764266 39.9366646307,116.433802135 39.9360785647,116.433673938 39.9353933801,116.433680792 39.935109961,116.43370744 39.9342282956,116.433691348 39.9341041085,116.433550845 39.9340141609,116.433418723 39.9338875017,116.433369679 39.9337547503,116.433368862 39.9336195457,116.433418375 39.9335069867,116.433531991 39.9333774559,116.433715106 39.9332692481,116.433755633 39.933172899,116.433821615 39.9322357871,116.433842756 39.9320137544,116.43397139 39.9314442867,116.433993614 39.9311054478,116.434007157 39.9308186209,116.434012736 39.9307216106,116.434071393 39.9295082947,116.434123342 39.9281562805,116.434106688 39.9275382739,116.434140643 39.9267975049,116.434113563 39.9266333288,116.434016356 39.9262160215,116.434053356 39.9250852329,116.434060729 39.9249595194,116.434008781 39.9247523695,116.433898831 39.9246389885,116.433825924 39.9245131651,116.433826305 39.9243655585,116.433879509 39.9242390936,116.434073802 39.9241181697,116.434240446 39.9240879794,116.434850911 39.924100977,116.435035629 39.9241433628,116.435174827 39.924261004,116.435386308 39.9243729583,116.435649 39.9244424475,116.435846286 39.9244515104,116.436303447 39.9244581536,116.436948681 39.9244406513,116.437808819 39.9243715517,116.438843704 39.9242640854,116.439054331 39.9242675027,116.440706796 39.9241098116,116.440817886 39.9240962533,116.441702093 39.9239839744,116.442089635 39.9239107025,116.443707181 39.9235741462,116.444036502 39.9235056328,116.444569091 39.9233946929,116.444985115 39.9233208293,116.445421191 39.9232687271,116.446128673 39.9232038722,116.450320859 39.9228332166,116.45044247 39.9228220958,116.450451364 39.9229437847,116.450451364 39.9229437847)
9830;54249,12811,12812,12930,12931,5607,14227,14224,14225,14226,2324,2325,2326,2327;LINESTRING(116.457576534 39.9980586406,116.457515277 39.9970923267,116.457379044 39.9970898094,116.455375948 39.9970526886,116.45463237 39.9970399657,116.453178255 39.9970149948,116.452108181 39.9968305189,116.450179076 39.9964904566,116.44924723 39.9963250136,116.446156964 39.9957792621,116.446027141 39.9957563742,116.444771271 39.9955401905,116.444049944 39.9954028187,116.443246641 39.9951657463,116.441498889 39.9945785212)
10943;47425,17482,17483,17484,62890,62891,62892,62893,62894,62895,62896,62897,62898,62899,62900,62901,62902,37115,9338,9339,9340,9345,9346,9347,1669,1670,41782,2160,2161,2162,37159,37160,37161,37162,37163,37164,37172,17853,17854,17855,37120,56222,41783,48227,48228,48229,48230,3564,3565,3566,3567,3568,3569,3570,37135,41791,41792,31769,31478,31108,31291,31481,31489,9728,2148;LINESTRING(116.310660193 39.9058193219,116.310663111 39.9059160311,116.311375038 39.9059989527,116.311605503 39.9060355505,116.311643981 39.906041717,116.31174198 39.9060580865,116.311981666 39.9060982017,116.312281282 39.9061888238,116.312485607 39.9062851823,116.312643542 39.9064063618,116.312871035 39.9066560685,116.31304391 39.9068456781,116.31333244 39.9071784965,116.313486965 39.9072573703,116.313739587 39.9072872145,116.314625714 39.9073002762,116.314781838 39.9073025526,116.315142802 39.9074177977,116.316800777 39.9074106609,116.321051105 39.9073688137,116.321184897 39.907368161,116.321314179 39.9073661001,116.321481044 39.907364609,116.324407402 39.9073388671,116.324884766 39.9073346641,116.32860543 39.9073013054,116.328927961 39.9073004192,116.329022976 39.9073006002,116.329423686 39.9073018637,116.32943451 39.9072998843,116.330180205 39.9073042068,116.330980713 39.9071837305,116.33178615 39.9071868705,116.33208353 39.9071880395,116.33250409 39.9071896444,116.332917736 39.9071912362,116.333686194 39.9071942078,116.334371065 39.9072187205,116.334516999 39.9072187,116.335097228 39.9072199112,116.335435703 39.9072186592,116.335520824 39.9074254312,116.335626899 39.9076829455,116.33559827 39.9087712378,116.335577484 39.9092592191,116.335548749 39.9095034747,116.335518508 39.9097274264,116.335430346 39.9100477714,116.33514497 39.9106634515,116.334933151 39.9111892684,116.334846484 39.9114440134,116.334773046 39.9116807829,116.334740098 39.9119054294,116.334696356 39.9123612651,116.334561216 39.9129191301,116.334584911 39.9140397231,116.334749887 39.9140284385,116.336691033 39.9140239541,116.338711555 39.9140074134,116.339273539 39.9140017845,116.339907686 39.9139960917,116.342858694 39.913970583,116.343451334 39.9139654994,116.345121696 39.9139446318,116.345243168 39.9139433587,116.345243168 39.9139433587)
3287;50412,29306,29307,29308,29309,50406,48621,48622,48623,51969,51970,51971,48612,48613,48614,48615,48616,81461,81457,81458,48617,49667,39066,39067,16375,16376,16353,81444,81448,29324,3488,3489,16643,28768,16346,48585,8936,39676,39677,29366,29048,28882,16656,16657,16658,29416,29417,29418,39687,8012,8013,8014,16638,16639,17986;LINESTRING(116.347356492 39.9543938173,116.347356492 39.9543938173,116.346860208 39.9561489676,116.346694506 39.9566864814,116.346486417 39.9572826185,116.346195571 39.9581091104,116.347652315 39.9580841081,116.347956189 39.9580817683,116.348369603 39.9580730285,116.349185501 39.9580565234,116.34966345 39.9580467955,116.350045085 39.9580390899,116.350815165 39.9580234856,116.351510172 39.9580064386,116.351947917 39.9579957245,116.352146447 39.9580022805,116.352796648 39.9580236426,116.353133571 39.9580347424,116.353507772 39.9580471066,116.353543849 39.9580482705,116.354648291 39.958032916,116.354991407 39.9579719143,116.355261167 39.9579191832,116.357028247 39.9579174383,116.35816067 39.9579169677,116.358522106 39.9579167785,116.361353463 39.9579153771,116.365591243 39.9579060946,116.365648349 39.9579059823,116.365733205 39.9579058125,116.371054077 39.9578939203,116.371060179 39.9578286262,116.371280249 39.9554848413,116.37134837 39.9547543074,116.371536526 39.9527365892,116.371594243 39.9521175448,116.371698275 39.9510112451,116.37183229 39.9509618278,116.371989046 39.9509425425,116.373595538 39.9509294099,116.374780894 39.9509327619,116.37533935 39.9509323787,116.375964796 39.9509455708,116.376233 39.9509693076,116.376586431 39.9510271491,116.377604441 39.9512422011,116.377991099 39.951292267,116.378308651 39.9513147453,116.37907482 39.9513250431,116.3800916 39.9513282049,116.38012214 39.9513225391,116.381682976 39.9513430556,116.382030416 39.9513550269,116.382134247 39.951356837,116.382454746 39.9513625745,116.382454838 39.9513506342)
18634;81291,47606,47607,47608,47609,81287,66083,66121,66118,66122,66084,66085,66498,19934,19935,19930,50094,50092,34561,34733,34734,34726,34900,34720,34910,34718,34676,34720,34910,34718,34678,34520,34675,34520,34521,34671,12699,12685,12686,12687,12688,12689,12690,12691,12692,12693,12694,59842,59843;LINESTRING(116.256815031 39.9007611469,116.256815031 39.9007611469,116.256814092 39.9004444326,116.256813984 39.90038673,116.256813881 39.9003559286,116.256813762 39.9002044218,116.257976119 39.9002032084,116.257975957 39.9005134223,116.257975605 39.9008955395,116.257975957 39.9005134223,116.257976119 39.9002032084,116.259961961 39.9002012748,116.260011057 39.9002012833,116.264675144 39.9001974026,116.264594108 39.9000063658,116.264632759 39.8971505498,116.264640013 39.8967638347,116.264607188 39.89257433,116.262373077 39.8926404525,116.260985069 39.8926479245,116.260019393 39.8932413665,116.259946099 39.8932413539,116.25875613 39.893241777,116.257378571 39.8932423391,116.25655936 39.8932427913,116.257378571 39.8932423391,116.257390431 39.8913302507,116.257378571 39.8932423391,116.25655936 39.8932427913,116.257378571 39.8932423391,116.257390431 39.8913302507,116.258732994 39.8913163842,116.259575117 39.8907018742,116.258732994 39.8913163842,116.259575117 39.8907018742,116.260947926 39.8906805246,116.260989785 39.8895549803,116.260990972 39.8894565759,116.2609757 39.8880614064,116.26103527 39.8878354082,116.261144844 39.8876455226,116.261270124 39.8875013431,116.261461204 39.887352279,116.261620981 39.8871672071,116.26169616 39.8869966167,116.261714942 39.886847514,116.261730505 39.8865518035,116.261706816 39.8858345633,116.259328945 39.8858884075,116.258617643 39.8859386143)
2213;31338,44085,33004,53413,2144,41768,43891,31374,31314,31589,31030,31255,31256,31146,31147,31148,9344,149,151,152,154,17485,17486,17487,17488,32855,32856,32857,32858,32859,32860,32861,32850,32851,17477,17478,47429,56156,56157,56158,56159,56160,56161,43858,43859,43860,43861,43862,43863,46531,46537,46538,46539,46540,46544,48494,46553,46554,46555,46556,48498,20822,20823,48499,48503,32563,71760,32511,20825,20788,20789,20790,20791,20792,20793,20794,20795,20796,20797,20784,20785,20786,32435,32364,32365,32366,32523,32362,81276,48816,48818,48819,48820,81041,81042,81043,81044,81045,81046,81047,48837,48838,32658,32609,32610,32596;LINESTRING(116.332866583 39.8973343001,116.332365636 39.8973205406,116.331591266 39.8973026583,116.32966177 39.8972808722,116.329205635 39.8972816028,116.329086364 39.8972806755,116.328390087 39.8972834504,116.327423105 39.8972971143,116.327419397 39.8997021159,116.325665754 39.8996823971,116.323464646 39.8996401599,116.323671692 39.9003440789,116.321459318 39.9003439588,116.321335648 39.9003439298,116.321335962 39.9004500351,116.321322854 39.9046182959,116.321314179 39.9073661001,116.321492186 39.9075022356,116.321175694 39.9075031498,116.321048917 39.9075040155,116.316800993 39.9075345667,116.315114858 39.9075334531,116.314660632 39.9076648538,116.31349874 39.9076629086,116.313290321 39.9077139461,116.313107172 39.9079094347,116.312563542 39.9085074143,116.312454932 39.9085902293,116.312330288 39.908655316,116.312145324 39.9087245988,116.311851842 39.9087949949,116.311664871 39.9088275741,116.311619581 39.9088353965,116.311382911 39.908867091,116.310607884 39.9089839705,116.310603089 39.9090965672,116.310600691 39.9091513655,116.310592913 39.9094547653,116.310590534 39.9096586701,116.310584687 39.9101728822,116.310584092 39.9102262835,116.31056437 39.9119670246,116.310559316 39.912411735,116.310548216 39.9133877577,116.310510855 39.9142964327,116.310505043 39.9150909564,116.310504675 39.9153512668,116.310503089 39.9162903037,116.310502438 39.9166932195,116.310501418 39.9173562456,116.310339885 39.9180388995,116.31032448 39.9206477821,116.310294752 39.9240983741,116.31027668 39.9262054297,116.310282387 39.9269727707,116.310282191 39.927013972,116.310279372 39.9293092605,116.310317959 39.930991094,116.310287937 39.933697552,116.310299733 39.9350777273,116.310310207 39.936303494,116.310314579 39.9368085216,116.310359465 39.937588529,116.310352408 39.9380450351,116.310524724 39.9386486522,116.310519404 39.9393731719,116.310514717 39.9395549712,116.31048261 39.9408051661,116.31047554 39.941156468,116.310481843 39.9426786389,116.310598672 39.9426652373,116.310758685 39.9426322088,116.311656439 39.9423296356,116.311903716 39.9421737556,116.311983567 39.9421011906,116.312021934 39.9420176536,116.312002985 39.9419248172,116.311946662 39.9418530171,116.311842346 39.9418026351,116.311721401 39.9417834258,116.311004298 39.9420303046,116.309449606 39.9426098894,116.30870099 39.9429175469,116.307800907 39.9432888669,116.307156511 39.9435241157,116.306465339 39.9437628968,116.306256257 39.9438344602,116.304293837 39.9445571469,116.303396862 39.9448603502,116.302918632 39.9450220128,116.30223644 39.9450890633,116.299062687 39.946196655,116.298589734 39.9463690745,116.298494683 39.9464039384,116.298367983 39.9464504574,116.298218447 39.9464987439,116.297572439 39.9467425299,116.296483167 39.947107511,116.295327838 39.9474819334,116.294544382 39.9476495805,116.293957725 39.9477263011,116.293593201 39.9477903222,116.29333554 39.9478830878,116.292425442 39.9478827085,116.291865955 39.9478410935,116.291299962 39.9477296766,116.290848321 39.9475014056)
19732;63204;LINESTRING(116.503026431 39.8016029234,116.503026431 39.8016029234)
20850;49464,49465,49466,49467,63927,49482,82902,82903,82904,82905,82906,82907,82908,63910,63911,63912,63913,49454,49441,49442,49443,49444,49445,49446,49420,49421,49422,49423,49424,49425,49389,49383,49384,49385,49386,49387,49388,3492,3493,3494,3495,3457,9412,57056,57037,57036,3479,3480,3481,9376,57168,9386,57185,57188,57195,57191,57185,57189,57190,57206,57207,57163,57164,57196,57162;LINESTRING(116.446922534 39.8428023157,116.446922583 39.8424056908,116.446922195 39.8409149979,116.446922103 39.8401889521,116.446921795 39.8385415476,116.446921725 39.8379881123,116.44692171 39.8378688046,116.446921442 39.836536119,116.446918124 39.8355515605,116.446916674 39.8351325355,116.446917546 39.8349257205,116.446921101 39.834628095,116.446924877 39.834510381,116.446927263 39.8344368722,116.446934518 39.8342101451,116.446993632 39.8337631165,116.447098346 39.8333222113,116.447346198 39.8325277403,116.44746266 39.8318944007,116.447738939 39.8310500736,116.447847952 39.8307104643,116.447988881 39.8302768933,116.448171212 39.829812848,116.448334695 39.8294321395,116.448580078 39.8289523806,116.448878441 39.828511129,116.449024084 39.8283240604,116.449371335 39.827944221,116.449620125 39.8276841608,116.450042093 39.8273150795,116.454319693 39.823970497,116.454408559 39.8239122183,116.455085451 39.8233708409,116.464855036 39.8157614624,116.467487848 39.8137767848,116.467852477 39.8134802832,116.468122101 39.8132075099,116.471977542 39.8088833182,116.472675068 39.8081478874,116.473340191 39.8074628308,116.473686299 39.8070982114,116.47402314 39.8067752161,116.474360281 39.8064865198,116.476055613 39.8051521785,116.47650016 39.8047950754,116.476995621 39.8043968289,116.478032954 39.8035199875,116.478181224 39.8033708775,116.478707445 39.8028871217,116.479410906 39.8021159558,116.479481249 39.8020196571,116.479701193 39.8020997658,116.483592413 39.8035557445,116.483680003 39.8035885021,116.483617836 39.8036683824,116.483526858 39.8036347342,116.483592413 39.8035557445,116.483680003 39.8035885021,116.485901094 39.8044181077,116.488013181 39.8052069408,116.490611288 39.8020087769,116.490778451 39.8018806804,116.490984296 39.8019563874,116.495390928 39.8039099026,116.497576431 39.801253101,116.497576431 39.801253101)
