geo_id,type,coordinates,highway
107,Point,"[116.3826849, 39.9006431]",10
108,Point,"[116.4004073, 39.9066074]",6
109,Point,"[116.4002588, 39.9064456]",6
110,Point,"[116.4004137, 39.9068092]",10
111,Point,"[116.4004305, 39.9072583]",10
112,Point,"[116.4004486, 39.9074912]",10
113,Point,"[116.4005044, 39.9082113]",10
114,Point,"[116.4000257, 39.9065976]",4
115,Point,"[116.4117218, 39.9069468]",4
116,Point,"[116.4117308, 39.9067754]",4
117,Point,"[116.4099651, 39.9068755]",4
118,Point,"[116.4092757, 39.9068643]",4
119,Point,"[116.4052788, 39.9067581]",4
120,Point,"[116.4051861, 39.9067543]",4
121,Point,"[116.4052787, 39.9068389]",10
122,Point,"[116.4052786, 39.9068944]",10
123,Point,"[116.4052558, 39.907575]",10
124,Point,"[116.4052483, 39.9079534]",10
125,Point,"[116.4118329, 39.9048304]",6
126,Point,"[116.4099011, 39.9047459]",6
127,Point,"[116.4120583, 39.9049174]",6
128,Point,"[116.4120161, 39.9027264]",4
129,Point,"[116.4120689, 39.902231]",4
130,Point,"[116.4120936, 39.9019997]",4
131,Point,"[116.4121062, 39.9018813]",4
132,Point,"[116.4121211, 39.9012267]",4
133,Point,"[116.4121218, 39.9011964]",4
134,Point,"[116.4121343, 39.900649]",4
135,Point,"[116.3192982, 39.9096927]",10
136,Point,"[116.3201598, 39.909681]",10
137,Point,"[116.3193448, 39.9122476]",6
138,Point,"[116.3219606, 39.9121982]",6
139,Point,"[116.3219716, 39.9115737]",6
140,Point,"[116.3177595, 39.9097205]",10
141,Point,"[116.3160883, 39.9097599]",10
142,Point,"[116.3156087, 39.9097712]",10
143,Point,"[116.3285234, 39.9098111]",10
144,Point,"[116.3283266, 39.9097623]",10
145,Point,"[116.3278474, 39.9096342]",10
146,Point,"[116.3275529, 39.9095482]",10
147,Point,"[116.3287274, 39.9093259]",8
148,Point,"[116.3287814, 39.9091961]",8
149,Point,"[116.328912, 39.9089096]",8
150,Point,"[116.3290074, 39.9086603]",8
151,Point,"[116.3471527, 39.9638588]",13
152,Point,"[116.3473446, 39.9598375]",13
153,Point,"[116.3473067, 39.9671179]",12
154,Point,"[116.3473428, 39.9653029]",12
155,Point,"[116.3638695, 39.966728]",4
156,Point,"[116.3639092, 39.9662639]",4
157,Point,"[116.3626204, 39.9667009]",10
158,Point,"[116.315387, 39.9062149]",10
159,Point,"[116.315548, 39.9065059]",10
160,Point,"[116.3150712, 39.9062164]",5
161,Point,"[116.3150804, 39.9060814]",9
162,Point,"[116.3149447, 39.9062175]",4
163,Point,"[116.3107059, 39.9062558]",4
164,Point,"[116.3107057, 39.9061319]",11
165,Point,"[116.3090233, 39.9062577]",4
166,Point,"[116.3107055, 39.9065563]",10
167,Point,"[116.3227946, 39.9096329]",10
168,Point,"[116.3243861, 39.9096129]",10
169,Point,"[116.3225308, 39.9096496]",10
170,Point,"[116.3228033, 39.9076792]",10
171,Point,"[116.3641188, 39.9639986]",4
172,Point,"[116.3640428, 39.9662665]",10
173,Point,"[116.3285085, 39.9169027]",10
174,Point,"[116.3286929, 39.9169055]",10
175,Point,"[116.3332298, 39.9169742]",10
176,Point,"[116.3284946, 39.915918]",8
177,Point,"[116.3284494, 39.9127273]",8
178,Point,"[116.3286935, 39.9168164]",10
179,Point,"[116.3332318, 39.916863]",10
180,Point,"[116.328511, 39.9178324]",8
181,Point,"[116.3285531, 39.9215053]",8
182,Point,"[116.3388295, 39.9170486]",10
183,Point,"[116.3386791, 39.9170469]",10
184,Point,"[116.3403128, 39.9170185]",10
185,Point,"[116.3388229, 39.9171294]",8
186,Point,"[116.3471769, 39.9170618]",10
187,Point,"[116.344767, 39.9170202]",10
188,Point,"[116.3499973, 39.9170535]",10
189,Point,"[116.3471983, 39.9169485]",10
190,Point,"[116.3471779, 39.9171354]",10
191,Point,"[116.3499229, 39.9277429]",13
192,Point,"[116.3500414, 39.9287671]",13
193,Point,"[116.3498057, 39.9302566]",12
194,Point,"[116.3497426, 39.9318112]",12
195,Point,"[116.3496278, 39.9346203]",12
196,Point,"[116.349618, 39.9349576]",12
197,Point,"[116.349625, 39.9353617]",12
198,Point,"[116.3493741, 39.9402687]",12
199,Point,"[116.3493218, 39.9406788]",12
200,Point,"[116.3493316, 39.9410323]",12
201,Point,"[116.3493868, 39.9412139]",12
202,Point,"[116.3494633, 39.9414129]",12
203,Point,"[116.3497857, 39.9418676]",12
204,Point,"[116.3499119, 39.9421294]",12
205,Point,"[116.349993, 39.9423255]",12
206,Point,"[116.3500587, 39.9427841]",12
207,Point,"[116.350102, 39.9434971]",12
208,Point,"[116.3494173, 39.9407366]",12
209,Point,"[116.3494912, 39.9410351]",12
210,Point,"[116.3496121, 39.9413376]",12
211,Point,"[116.3498562, 39.9416304]",12
212,Point,"[116.3501289, 39.9420037]",12
213,Point,"[116.3504287, 39.9422756]",12
214,Point,"[116.3506524, 39.9424359]",12
215,Point,"[116.3510901, 39.942645]",12
216,Point,"[116.351802, 39.9428581]",12
217,Point,"[116.3523304, 39.943008]",12
218,Point,"[116.3501458, 39.9476852]",13
219,Point,"[116.3502271, 39.9483618]",13
220,Point,"[116.3500857, 39.9480604]",12
221,Point,"[116.3500264, 39.948515]",12
222,Point,"[116.3499378, 39.9488665]",12
223,Point,"[116.3496843, 39.949634]",12
224,Point,"[116.3493638, 39.9506158]",12
225,Point,"[116.3492859, 39.9509481]",12
226,Point,"[116.3492006, 39.9513078]",12
227,Point,"[116.3491335, 39.9518333]",12
228,Point,"[116.3490723, 39.953105]",12
229,Point,"[116.3490214, 39.9542929]",9
230,Point,"[116.3491435, 39.9548478]",9
231,Point,"[116.3490159, 39.954785]",12
232,Point,"[116.3488619, 39.9585562]",12
233,Point,"[116.3488127, 39.9599117]",12
234,Point,"[116.3486569, 39.9625623]",12
235,Point,"[116.4102914, 39.993712]",4
236,Point,"[116.4107068, 39.9937161]",4
237,Point,"[116.4092023, 39.9906544]",10
238,Point,"[116.4089578, 39.9901152]",10
239,Point,"[116.4085654, 39.9894905]",10
240,Point,"[116.3945787, 39.9933535]",10
241,Point,"[116.3947859, 39.9932058]",10
242,Point,"[116.3945891, 39.9931907]",10
243,Point,"[116.3946502, 39.992231]",10
244,Point,"[116.3946781, 39.991793]",10
245,Point,"[116.3946848, 39.9916871]",10
246,Point,"[116.3947088, 39.9913102]",10
247,Point,"[116.3945865, 39.9903954]",10
248,Point,"[116.3946049, 39.9900848]",10
249,Point,"[116.3944054, 39.9933482]",10
250,Point,"[116.3943129, 39.9933454]",10
251,Point,"[116.397173, 39.9920935]",6
252,Point,"[116.3972082, 39.9886984]",6
253,Point,"[116.3972613, 39.9922158]",6
254,Point,"[116.3972173, 39.9928434]",6
255,Point,"[116.3971886, 39.9932535]",6
256,Point,"[116.3976545, 39.9920324]",6
257,Point,"[116.3980665, 39.9919535]",6
258,Point,"[116.3984098, 39.9918022]",6
259,Point,"[116.3988733, 39.9914866]",6
260,Point,"[116.3991379, 39.9908431]",6
261,Point,"[116.3949978, 39.9920247]",6
262,Point,"[116.3948143, 39.9920189]",6
263,Point,"[116.4001572, 39.9908267]",6
264,Point,"[116.3991651, 39.9908356]",6
265,Point,"[116.3991394, 39.9895401]",6
266,Point,"[116.3990192, 39.9892245]",6
267,Point,"[116.398899, 39.9890272]",6
268,Point,"[116.3987188, 39.9888957]",6
269,Point,"[116.3983755, 39.9887576]",6
270,Point,"[116.3978777, 39.9887181]",6
271,Point,"[116.394698, 39.9885124]",10
272,Point,"[116.3947152, 39.9882112]",10
273,Point,"[116.3951139, 39.9885771]",11
274,Point,"[116.3940399, 39.9884919]",10
275,Point,"[116.3935358, 39.9884761]",10
276,Point,"[116.3931743, 39.9884714]",10
277,Point,"[116.3931337, 39.9884709]",10
278,Point,"[116.392523, 39.9884445]",10
279,Point,"[116.392423, 39.9884376]",10
280,Point,"[116.3974964, 39.9932596]",10
281,Point,"[116.3982942, 39.9933848]",10
282,Point,"[116.4040694, 39.9870136]",12
283,Point,"[116.4060821, 39.987074]",12
284,Point,"[116.4289147, 39.9877395]",12
285,Point,"[116.4295233, 39.9875856]",12
286,Point,"[116.4295304, 39.9877472]",12
287,Point,"[116.4416847, 39.9840231]",12
288,Point,"[116.4421056, 39.983775]",12
289,Point,"[116.4425205, 39.9835043]",12
290,Point,"[116.4581358, 39.9732944]",13
291,Point,"[116.4586365, 39.972639]",13
292,Point,"[116.4582888, 39.9731871]",12
293,Point,"[116.4832531, 39.9534269]",13
294,Point,"[116.4833045, 39.953882]",13
295,Point,"[116.4827188, 39.9547533]",12
296,Point,"[116.4823919, 39.955379]",12
297,Point,"[116.4820733, 39.955959]",12
298,Point,"[116.4816366, 39.956622]",12
299,Point,"[116.4813134, 39.9570747]",12
300,Point,"[116.4804559, 39.9581211]",12
301,Point,"[116.4803052, 39.9582868]",12
302,Point,"[116.4794407, 39.9591285]",12
303,Point,"[116.4784543, 39.9599357]",12
304,Point,"[116.477566, 39.9606584]",12
305,Point,"[116.4768056, 39.9612205]",12
306,Point,"[116.4836719, 39.9516501]",12
307,Point,"[116.483532, 39.9524394]",12
308,Point,"[116.4839581, 39.940583]",12
309,Point,"[116.4839496, 39.9436808]",12
310,Point,"[116.4839489, 39.9439169]",12
311,Point,"[116.4839535, 39.9460738]",12
312,Point,"[116.2686859, 39.919551]",9
313,Point,"[116.2694824, 39.9195489]",9
314,Point,"[116.2687859, 39.9191434]",8
315,Point,"[116.2688014, 39.918726]",8
316,Point,"[116.2687975, 39.9186211]",8
317,Point,"[116.2682644, 39.9206764]",9
318,Point,"[116.2696265, 39.9206677]",9
319,Point,"[116.4053914, 39.9476591]",12
320,Point,"[116.4065022, 39.947717]",12
321,Point,"[116.4053672, 39.9477768]",13
322,Point,"[116.4046816, 39.9478566]",13
323,Point,"[116.4020434, 39.9477159]",12
324,Point,"[116.3993123, 39.9477091]",12
325,Point,"[116.3980371, 39.9477018]",12
326,Point,"[116.4262973, 39.9476782]",12
327,Point,"[116.4267835, 39.9473076]",12
328,Point,"[116.4270524, 39.9469499]",12
329,Point,"[116.4271779, 39.9467585]",12
330,Point,"[116.4206977, 39.9071039]",9
331,Point,"[116.4206952, 39.9069451]",9
332,Point,"[116.4189377, 39.9070814]",4
333,Point,"[116.434823, 39.9072277]",10
334,Point,"[116.434771, 39.907075]",10
335,Point,"[116.43483, 39.9073186]",10
336,Point,"[116.4331475, 39.9072171]",4
337,Point,"[116.4306492, 39.9072304]",4
338,Point,"[116.4302202, 39.9072327]",4
339,Point,"[116.4441203, 39.9071643]",8
340,Point,"[116.4441178, 39.9070359]",8
341,Point,"[116.4376438, 39.9072079]",4
342,Point,"[116.4005425, 39.9116148]",6
343,Point,"[116.4010405, 39.9116304]",6
344,Point,"[116.4005231, 39.9119989]",10
345,Point,"[116.4005796, 39.9106513]",10
346,Point,"[116.4047536, 39.9171376]",10
347,Point,"[116.4036923, 39.9170837]",10
348,Point,"[116.4058087, 39.9171832]",10
349,Point,"[116.4048948, 39.9173561]",8
350,Point,"[116.4048581, 39.9180242]",8
351,Point,"[116.3955127, 39.9137358]",0
352,Point,"[116.3967258, 39.913772]",0
353,Point,"[116.3966409, 39.9157257]",10
354,Point,"[116.397381, 39.9137976]",10
355,Point,"[116.3967626, 39.91317]",10
356,Point,"[116.3967921, 39.9121374]",10
357,Point,"[116.4004361, 39.9138882]",10
358,Point,"[116.3990678, 39.9138384]",10
359,Point,"[116.4009101, 39.9139032]",10
360,Point,"[116.4003776, 39.9152723]",10
361,Point,"[116.4116106, 39.9141866]",4
362,Point,"[116.4115891, 39.9148007]",4
363,Point,"[116.4107268, 39.9141585]",8
364,Point,"[116.4086964, 39.9141443]",8
365,Point,"[116.4081784, 39.914139]",8
366,Point,"[116.4118558, 39.9141264]",8
367,Point,"[116.4128104, 39.9141279]",8
368,Point,"[116.4130346, 39.9141331]",8
369,Point,"[116.4132098, 39.9141763]",8
370,Point,"[116.4132749, 39.9141923]",8
371,Point,"[116.4116659, 39.913451]",4
372,Point,"[116.4116652, 39.9130902]",4
373,Point,"[116.4116808, 39.912776]",4
374,Point,"[116.4203698, 39.9141931]",8
375,Point,"[116.4185083, 39.9141685]",8
376,Point,"[116.4205025, 39.9141514]",9
377,Point,"[116.420416, 39.9135372]",8
378,Point,"[116.4113816, 39.9173925]",4
379,Point,"[116.4114097, 39.9169627]",4
380,Point,"[116.41139, 39.9177005]",4
381,Point,"[116.4114091, 39.918401]",4
382,Point,"[116.4114088, 39.9188647]",4
383,Point,"[116.4114025, 39.9191171]",4
384,Point,"[116.4113789, 39.9197516]",4
385,Point,"[116.4113749, 39.9198482]",4
386,Point,"[116.4113262, 39.9204728]",4
387,Point,"[116.411329, 39.9205018]",4
388,Point,"[116.4113099, 39.9211401]",4
389,Point,"[116.4113047, 39.9216711]",4
390,Point,"[116.4112851, 39.9227568]",4
391,Point,"[116.4104908, 39.9173611]",10
392,Point,"[116.4104738, 39.9173605]",10
393,Point,"[116.4102026, 39.9173545]",10
394,Point,"[116.4478707, 39.955964]",2
395,Point,"[116.4483214, 39.9563736]",2
396,Point,"[116.4487511, 39.9567641]",2
397,Point,"[116.4487223, 39.9560376]",3
398,Point,"[116.4487829, 39.9558419]",3
399,Point,"[116.4487959, 39.9558]",3
400,Point,"[116.448823, 39.9556765]",3
401,Point,"[116.4487821, 39.9555279]",3
402,Point,"[116.4486894, 39.9554155]",3
403,Point,"[116.4485462, 39.9553376]",3
404,Point,"[116.4483314, 39.9553044]",3
405,Point,"[116.448117, 39.9553218]",3
406,Point,"[116.4479042, 39.9554376]",3
407,Point,"[116.4478098, 39.9556613]",3
408,Point,"[116.4478162, 39.9558118]",3
409,Point,"[116.4491277, 39.9557693]",12
410,Point,"[116.4493532, 39.955605]",12
411,Point,"[116.4501915, 39.9580911]",2
412,Point,"[116.449035, 39.9568745]",3
413,Point,"[116.4492276, 39.9569013]",3
414,Point,"[116.4494323, 39.9568672]",3
415,Point,"[116.4496141, 39.956761]",3
416,Point,"[116.4497008, 39.9566512]",3
417,Point,"[116.4497249, 39.9564998]",3
418,Point,"[116.4496575, 39.9563106]",3
419,Point,"[116.4495262, 39.9561952]",3
420,Point,"[116.4493577, 39.9561288]",3
421,Point,"[116.449058, 39.9561201]",3
422,Point,"[116.4488182, 39.956176]",3
423,Point,"[116.4607431, 39.9675538]",2
424,Point,"[116.4612344, 39.9680097]",2
425,Point,"[116.4628542, 39.9694099]",2
426,Point,"[116.4511862, 39.9591635]",3
427,Point,"[116.4508169, 39.9589404]",3
428,Point,"[116.4506438, 39.9588393]",3
429,Point,"[116.4504377, 39.9587424]",3
430,Point,"[116.4501795, 39.9586476]",3
431,Point,"[116.4495058, 39.9584423]",3
432,Point,"[116.4493266, 39.9583424]",3
433,Point,"[116.4491647, 39.9582245]",3
434,Point,"[116.448726, 39.9578452]",3
435,Point,"[116.4481884, 39.9564613]",2
436,Point,"[116.4473024, 39.9556562]",2
437,Point,"[116.4436855, 39.9523694]",2
438,Point,"[116.4470711, 39.9556095]",3
439,Point,"[116.4469835, 39.9556036]",3
440,Point,"[116.4468726, 39.9556315]",3
441,Point,"[116.4467853, 39.9556819]",3
442,Point,"[116.446747, 39.9557377]",3
443,Point,"[116.4467396, 39.9557935]",3
444,Point,"[116.44782, 39.9566013]",12
445,Point,"[116.4466687, 39.9558534]",13
446,Point,"[116.4467458, 39.955847]",3
447,Point,"[116.4467768, 39.9559005]",3
448,Point,"[116.4469226, 39.9560776]",3
449,Point,"[116.4466766, 39.9573286]",12
450,Point,"[116.446744, 39.9572877]",12
451,Point,"[116.4469412, 39.9571602]",12
452,Point,"[116.4473656, 39.9568859]",12
453,Point,"[116.4468006, 39.9574926]",12
454,Point,"[116.4448781, 39.9587701]",12
455,Point,"[116.4467986, 39.9575699]",10
456,Point,"[116.4467706, 39.9576536]",10
457,Point,"[116.4475454, 39.9569986]",12
458,Point,"[116.4469686, 39.9573752]",12
459,Point,"[116.4468724, 39.957438]",12
460,Point,"[116.448104, 39.9566269]",12
461,Point,"[116.4480685, 39.9567758]",13
462,Point,"[116.4480783, 39.9568465]",13
463,Point,"[116.4480977, 39.9569091]",13
464,Point,"[116.448149, 39.9569773]",13
465,Point,"[116.4500657, 39.9587043]",13
466,Point,"[116.4515245, 39.9600592]",13
467,Point,"[116.4517471, 39.9602831]",13
468,Point,"[116.4518272, 39.9604342]",13
469,Point,"[116.4518925, 39.9606115]",13
470,Point,"[116.4507311, 39.9551084]",10
471,Point,"[116.4501623, 39.9552979]",10
472,Point,"[116.4508015, 39.9551647]",6
473,Point,"[116.4508661, 39.9552162]",6
474,Point,"[116.4134008, 39.9212191]",6
475,Point,"[116.4133937, 39.9221455]",6
476,Point,"[116.4205538, 39.910715]",6
477,Point,"[116.4207098, 39.9106965]",6
478,Point,"[116.4191469, 39.9107074]",6
479,Point,"[116.4179336, 39.9106979]",6
480,Point,"[116.4205815, 39.9102272]",8
481,Point,"[116.4206843, 39.9089534]",8
482,Point,"[116.4206856, 39.9088352]",8
483,Point,"[116.4204506, 39.912862]",6
484,Point,"[116.4205834, 39.9128554]",6
485,Point,"[116.4185104, 39.912822]",6
486,Point,"[116.4165482, 39.9128088]",6
487,Point,"[116.4205201, 39.911412]",8
488,Point,"[116.4201576, 39.9177719]",6
489,Point,"[116.4202929, 39.9177705]",6
490,Point,"[116.4201808, 39.9172466]",8
491,Point,"[116.420191, 39.9170371]",8
492,Point,"[116.4203041, 39.9156932]",8
493,Point,"[116.4200322, 39.9205644]",6
494,Point,"[116.4201663, 39.9205724]",6
495,Point,"[116.4200665, 39.9198699]",8
496,Point,"[116.4200742, 39.9194378]",8
497,Point,"[116.4200927, 39.9191009]",8
498,Point,"[116.3882619, 39.9812361]",9
499,Point,"[116.387202, 39.9812017]",9
500,Point,"[116.3884923, 39.9811752]",8
501,Point,"[116.3881489, 39.9835845]",8
502,Point,"[116.3880506, 39.9856266]",8
503,Point,"[116.3880413, 39.9858229]",8
504,Point,"[116.391715, 39.9809118]",0
505,Point,"[116.3921462, 39.9813649]",0
506,Point,"[116.3921013, 39.9807211]",10
507,Point,"[116.3925304, 39.9806093]",10
508,Point,"[116.3929853, 39.9805633]",10
509,Point,"[116.3933887, 39.980583]",10
510,Point,"[116.3938007, 39.9806882]",10
511,Point,"[116.3941183, 39.9808066]",10
512,Point,"[116.394445, 39.981022]",10
513,Point,"[116.391385, 39.9812241]",10
514,Point,"[116.391226, 39.9814621]",10
515,Point,"[116.3910836, 39.9816299]",10
516,Point,"[116.3908482, 39.9817138]",10
517,Point,"[116.3903609, 39.9816928]",10
518,Point,"[116.3939967, 39.9814223]",0
519,Point,"[116.3947019, 39.9812144]",10
520,Point,"[116.3949594, 39.9813985]",10
521,Point,"[116.3953028, 39.9814709]",10
522,Point,"[116.3972555, 39.9815094]",10
523,Point,"[116.3976017, 39.9815162]",10
524,Point,"[116.3982197, 39.9819634]",10
525,Point,"[116.3995806, 39.9820623]",10
526,Point,"[116.3997739, 39.9822175]",10
527,Point,"[116.399725, 39.982568]",10
528,Point,"[116.3996579, 39.98278]",10
529,Point,"[116.3995911, 39.9830139]",10
530,Point,"[116.4011781, 39.9816984]",8
531,Point,"[116.4010286, 39.9816965]",8
532,Point,"[116.4011774, 39.981595]",4
533,Point,"[116.4039799, 39.981761]",10
534,Point,"[116.4039238, 39.9816734]",10
535,Point,"[116.4050336, 39.9834874]",10
536,Point,"[116.4026049, 39.9817303]",10
537,Point,"[116.3988518, 39.9829914]",0
538,Point,"[116.3997334, 39.9830414]",0
539,Point,"[116.3999346, 39.9830599]",0
540,Point,"[116.3993282, 39.9835491]",0
541,Point,"[116.3991136, 39.9838977]",0
542,Point,"[116.3988218, 39.9842594]",0
543,Point,"[116.3984871, 39.9845882]",0
544,Point,"[116.3981094, 39.9848907]",0
545,Point,"[116.3977146, 39.9851669]",0
546,Point,"[116.3972597, 39.985384]",0
547,Point,"[116.3968391, 39.9855681]",0
548,Point,"[116.3961868, 39.9857654]",0
549,Point,"[116.3955602, 39.9859298]",0
550,Point,"[116.3953726, 39.9859848]",0
551,Point,"[116.3940749, 39.9814869]",0
552,Point,"[116.3941457, 39.9815562]",0
553,Point,"[116.3942087, 39.9816298]",0
554,Point,"[116.3942634, 39.9817072]",0
555,Point,"[116.3943095, 39.9817879]",0
556,Point,"[116.3943466, 39.9818712]",0
557,Point,"[116.3943745, 39.9819566]",0
558,Point,"[116.394393, 39.9820435]",0
559,Point,"[116.3944019, 39.9821312]",0
560,Point,"[116.3944012, 39.9822192]",0
561,Point,"[116.3943909, 39.9823069]",0
562,Point,"[116.3943711, 39.9823936]",0
563,Point,"[116.3943419, 39.9824788]",0
564,Point,"[116.3943034, 39.9825617]",0
565,Point,"[116.3942561, 39.9826419]",0
566,Point,"[116.3942002, 39.9827188]",0
567,Point,"[116.3941361, 39.9827919]",0
568,Point,"[116.3940642, 39.9828606]",0
569,Point,"[116.3939851, 39.9829244]",0
570,Point,"[116.3938993, 39.9829829]",0
571,Point,"[116.3938073, 39.9830357]",0
572,Point,"[116.39371, 39.9830825]",0
573,Point,"[116.3936079, 39.9831228]",0
574,Point,"[116.3935017, 39.9831565]",0
575,Point,"[116.3933923, 39.9831833]",0
576,Point,"[116.3932803, 39.9832029]",0
577,Point,"[116.3931665, 39.9832153]",0
578,Point,"[116.3930518, 39.9832203]",0
579,Point,"[116.392937, 39.983218]",0
580,Point,"[116.3928228, 39.9832083]",0
581,Point,"[116.3927101, 39.9831914]",0
582,Point,"[116.3925996, 39.9831673]",0
583,Point,"[116.3924921, 39.9831361]",0
584,Point,"[116.3923884, 39.9830982]",0
585,Point,"[116.3922892, 39.9830538]",0
586,Point,"[116.3921952, 39.9830032]",0
587,Point,"[116.3938797, 39.981343]",0
588,Point,"[116.3937516, 39.9812743]",0
589,Point,"[116.3936142, 39.9812173]",0
590,Point,"[116.3934692, 39.9811726]",0
591,Point,"[116.3933185, 39.9811409]",0
592,Point,"[116.393164, 39.9811225]",0
593,Point,"[116.3930079, 39.9811176]",0
594,Point,"[116.392852, 39.9811264]",0
595,Point,"[116.3926984, 39.9811487]",0
596,Point,"[116.3925492, 39.9811843]",0
597,Point,"[116.3924062, 39.9812326]",0
598,Point,"[116.3922713, 39.9812931]",0
599,Point,"[116.3920278, 39.9814511]",0
600,Point,"[116.3919236, 39.9815475]",0
601,Point,"[116.391835, 39.9816528]",0
602,Point,"[116.3917634, 39.9817653]",0
603,Point,"[116.3917098, 39.9818835]",0
604,Point,"[116.3916749, 39.9820058]",0
605,Point,"[116.3916592, 39.9821304]",0
606,Point,"[116.3916629, 39.9822556]",0
607,Point,"[116.3916861, 39.9823795]",0
608,Point,"[116.3917282, 39.9825005]",0
609,Point,"[116.3917889, 39.9826167]",0
610,Point,"[116.3918671, 39.9827266]",0
611,Point,"[116.3919619, 39.9828286]",0
